feature,importance
int_rate,0.25044453
term_months,0.11694709
home_RENT,0.051000427
dti_pro_forma,0.034981642
loan_to_income,0.030895887
mort_acc,0.02734553
purpose_small_business,0.025551297
fico_score,0.025427073
inq_last_6mths,0.024145948
tot_hi_cred_lim,0.0201617
rate_premium,0.01951307
num_actv_bc_tl,0.019379565
emp_length_num,0.015267701
is_joint,0.013583909
home_OWN,0.013305381
dti,0.012997743
total_bc_limit,0.0127867535
total_leverage,0.012163685
account_util_rate,0.011906076
pub_rec,0.011735491
loan_amnt,0.011679554
purpose_credit_card,0.011575921
payment_to_income,0.0114276195
total_derog_marks,0.011316817
purpose_other,0.011244178
num_sats,0.0112050325
annual_inc,0.011195131
purpose_medical,0.010790492
revol_bal_to_income,0.010646972
installment,0.010646932
revol_bal,0.01044279
credit_history_years,0.010121817
delinq_2yrs,0.0099259615
purpose_debt_consolidation,0.00950472
pub_rec_bankruptcies,0.009190343
tot_cur_bal,0.008717085
total_il_high_credit_limit,0.008490378
open_acc,0.0077324836
pct_tl_nvr_dlq,0.0076169735
purpose_home_improvement,0.007406926
revol_headroom,0.0073917788
purpose_major_purchase,0.007242746
num_bc_tl,0.0072309077
revol_util,0.007207854
total_bal_ex_mort,0.0070872703
total_rev_hi_lim,0.006913086
total_acc,0.006507717
home_OTHER,0.0
high_inquiry_flag,0.0
